"Protein.Group","S_19_1","S_P1R2_3","S_19_3","C_P1R2_2","C_90_1","C_64Y_3","S_90_2","C_64_3","C_64_1","S_64Y_1","S_64Y_2","S_60_2","C_19_1","C_60_1","S_90_1","C_P1R2_3","S_64Y_2_2","C_90_2","S_60_3","S_64_1","C_90_3","S_90_2_2","S_64_2","C_P1R2_1","S_64_3","S_19_2","C_60_3","C_60_2","S_P1R2_2","C_64Y_2","C_64Y_1","C_19_2","C_64_2","S_60_1","C_19_3","S_P1R2_1"
"Montipora_capitata_HIv3___RNAseq.18871_t",NA,18.3756494553622,NA,18.4660933937761,18.6098179826325,20.3735498149874,18.9563633056655,18.779698718643,19.8451837397602,19.948293969293,NA,NA,NA,17.3774522975644,NA,18.5002614133363,19.6097273716538,NA,NA,NA,NA,19.2052688496281,NA,17.9550712702702,NA,NA,17.0335905317945,NA,NA,NA,19.8854544341854,19.1322698658889,NA,18.5551367502169,NA,NA
"Montipora_capitata_HIv3___RNAseq.19931_t",22.8340558870511,23.5983620800979,22.7520208263427,24.100595614459,22.5423536600951,22.771669094787,23.7016031216705,23.2305030817675,21.4956884199126,22.4663345341175,NA,23.4559560125412,22.665065328366,23.1131784395987,23.5871247652585,22.8359560347323,22.1953322534829,23.1984504371601,22.8451379789436,22.8848095924669,23.1385075842257,23.3615573768231,22.6839888781548,23.1787110431154,22.9400160163412,23.6896496532632,22.7492747026809,23.343162667735,23.2812868336997,22.3421720816197,21.9041898219408,23.5967591578687,23.1716341840753,21.8095387256659,23.1587335609615,23.5607833028418
"Montipora_capitata_HIv3___RNAseq.20218_t",NA,NA,NA,18.7399281846615,NA,22.1133285338076,NA,21.4103407122503,21.6587043110607,20.4283927616757,NA,NA,NA,NA,NA,NA,NA,20.6957486681713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.8573431187412,NA,NA
"Montipora_capitata_HIv3___RNAseq.20426_t",NA,NA,NA,NA,NA,17.0803487998604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.2326314243021,NA,NA,NA,NA,NA
"Montipora_capitata_HIv3___RNAseq.20746_t",19.6827908213209,20.7823809914454,20.9372499719323,21.1101654639349,21.0877989978166,21.3137341804827,21.9582625025957,NA,NA,19.9678928078645,21.1897239855745,22.190516771383,NA,NA,19.8748530571784,21.0106626365646,20.6400384664056,NA,20.2561339513408,NA,17.7989352891236,19.8950472248341,18.7848240218695,19.6465993588562,NA,19.9379551990913,20.3642531704571,18.9926163244056,18.9651175533857,NA,18.2895144814711,19.788357704654,NA,21.0691371768255,20.2737588972608,NA
"Montipora_capitata_HIv3___RNAseq.20747_t",25.9910187716284,25.746122273965,25.2910172096121,25.2822018759363,25.2635354189459,25.4437039094446,25.0326085979684,25.5410936604768,25.1858517887464,25.1252056548996,25.0125048539543,25.0809998056338,24.3785980882477,24.9077107426203,25.8548601102395,25.4228481926217,25.3455552236567,25.0182643718582,25.4018737516584,25.1900273428002,25.4743962782729,25.4507252173566,25.6967997873986,25.4192807722923,25.206094141348,25.2783680652043,25.2054703693591,25.0132766642126,25.2791273658661,24.6483517665198,23.7188766942494,25.1541419344911,25.0773342136907,25.1595164556426,25.1278509390316,25.2398411884523
"Montipora_capitata_HIv3___RNAseq.20831_t",26.1916900001906,26.018498193799,25.744828808702,26.9791328698304,25.2509622209972,26.8591585362908,26.6080093072575,26.5323854154251,26.4221318970108,26.2988957383511,25.1944251820955,26.1776772928962,25.4077647556037,25.9720994044142,26.5042310256935,26.3477990897458,26.3611641816751,26.4346800163498,26.370966176739,25.7482174229013,26.3564933441153,26.3070552710855,25.4929804950036,25.8576970653465,25.8052302078561,26.2392044488108,25.6491466253354,25.8690431936668,25.9395681849656,26.6546031440461,26.2355403980228,26.8568491188861,25.9402487082517,26.2011068699088,25.9402404624926,26.6838175892496
"Montipora_capitata_HIv3___RNAseq.20936_t",23.8652253308709,19.5345775312747,19.5399108708675,20.8046843621496,21.2498556163487,21.4903433844112,21.1473769871151,20.608285395564,23.5189869701949,19.7054986639323,19.5213748332605,22.5845956724224,23.6865911441667,23.3568702217699,20.2428442476739,17.8186078234277,NA,21.6367667628196,NA,23.3162652328246,22.779271597022,20.7668947307211,24.036668313624,20.2889030976649,22.8657370459858,NA,21.8465915635518,23.7306504860101,22.4834382961041,22.939957299625,23.2145586582699,20.4813476320204,23.2097918621433,NA,22.8431585358742,22.4850000996788
"Montipora_capitata_HIv3___RNAseq.20956_t;Montipora_capitata_HIv3___RNAseq.20957_t",NA,18.5055230143532,NA,20.139041354442,18.0119666606372,19.0584018724373,19.4227855854775,18.9993991394933,19.570243346324,18.5318020408806,NA,NA,19.1264823489192,19.2730935480551,NA,18.2839361467367,18.6906084714204,NA,NA,NA,NA,19.0820104534891,NA,NA,NA,NA,NA,18.8526631336425,NA,NA,NA,NA,19.0824263395829,17.6343854430463,NA,NA
"Montipora_capitata_HIv3___RNAseq.21109_t",23.554418351908,23.4187057792164,22.9662100563755,23.5933647915067,22.4677472024204,23.5784143859217,23.3135268876657,23.242122605972,23.1291562749056,22.9042109578549,21.7786528830656,22.7644508890948,22.680298994412,23.0710526353128,23.4006578486233,23.1485968286487,23.002834239988,22.6818528434299,23.3329146462447,22.652884569915,23.2888190543602,23.8264212478543,23.1122006961755,22.5147245268212,22.7770084386987,22.4357040838775,22.8640779612964,22.9793158964297,23.3998060933178,22.0767970075174,22.3573292992597,23.5070283088027,23.1479791983861,22.6917529954466,22.9932503407262,23.4549775916012
